                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                     36,                0.60748,                0.67063,                0.96834,                0.82853,                0.84924,                0.86421,                0.77177,                0.50161,                0.57803,                0.91828,              0.0016634,              0.0016634,              0.0016634
                     37,                0.59116,                 0.6213,                0.96678,                0.81602,                0.85556,                0.85681,                0.75683,                0.50894,                0.59888,                0.92513,              0.0016535,              0.0016535,              0.0016535
                     38,                0.59495,                0.63628,                0.96423,                0.82739,                0.84242,                0.86192,                0.76619,                0.51398,                0.58863,                0.92559,              0.0016436,              0.0016436,              0.0016436
                     39,                0.63038,                0.65401,                0.99708,                  0.822,                0.83737,                0.85933,                0.76253,                0.50233,                0.58814,                0.92014,              0.0016337,              0.0016337,              0.0016337
                     40,                 0.6343,                0.67283,                 1.0024,                0.83974,                0.81919,                0.85398,                0.75786,                0.51068,                0.58754,                0.92541,              0.0016238,              0.0016238,              0.0016238
                     41,                0.61222,                0.62734,                   0.98,                0.81965,                0.83535,                0.85571,                0.75867,                0.50836,                0.61909,                0.92363,              0.0016139,              0.0016139,              0.0016139
                     42,                0.61403,                 0.6395,                0.97577,                0.82114,                0.85152,                0.85996,                0.76763,                0.49229,                0.64025,                0.91858,               0.001604,               0.001604,               0.001604
                     43,                0.60851,                0.61896,                0.96818,                0.81408,                0.85805,                0.86141,                0.76716,                0.49674,                0.59789,                0.91982,              0.0015941,              0.0015941,              0.0015941
                     44,                0.60107,                0.63562,                0.97828,                0.79634,                0.85311,                0.86225,                0.76502,                0.51081,                0.59363,                0.92549,              0.0015842,              0.0015842,              0.0015842
                     45,                0.59212,                0.64142,                0.96899,                0.81702,                0.85051,                0.86705,                0.77009,                0.50394,                0.58455,                0.91953,              0.0015743,              0.0015743,              0.0015743
                     46,                0.61082,                  0.653,                0.97379,                0.81387,                0.84343,                0.85597,                0.76592,                0.48584,                 0.5837,                0.91558,              0.0015644,              0.0015644,              0.0015644
                     47,                0.59278,                 0.6203,                0.97335,                0.82879,                0.85556,                0.86653,                0.77392,                0.48878,                0.60167,                0.91695,              0.0015545,              0.0015545,              0.0015545
                     48,                0.59193,                0.62524,                0.96389,                0.81505,                0.84949,                0.86235,                0.77194,                0.49323,                0.59512,                0.91433,              0.0015446,              0.0015446,              0.0015446
                     49,                0.61412,                0.61908,                0.98849,                0.82091,                0.83636,                0.86058,                0.76355,                 0.5128,                0.62565,                0.92393,              0.0015347,              0.0015347,              0.0015347
                     50,                0.60182,                0.61744,                0.97075,                0.79654,                0.88384,                0.87095,                0.77784,                0.49433,                0.56421,                0.91856,              0.0015248,              0.0015248,              0.0015248
                     51,                0.59311,                0.59203,                0.96413,                0.82304,                0.83131,                0.86432,                0.76573,                0.51476,                 0.5856,                0.92257,              0.0015149,              0.0015149,              0.0015149
                     52,                0.58835,                0.60611,                0.96764,                0.80443,                0.87071,                0.87274,                0.77994,                0.48835,                0.58507,                0.91495,               0.001505,               0.001505,               0.001505
                     53,                0.56851,                0.58844,                0.95811,                0.82025,                0.87172,                0.87346,                0.77998,                 0.4967,                0.55921,                0.91402,              0.0014951,              0.0014951,              0.0014951
                     54,                0.59164,                0.58794,                0.95773,                0.81046,                0.87374,                0.87002,                0.77474,                0.50525,                0.58512,                0.92594,              0.0014852,              0.0014852,              0.0014852
                     55,                0.57284,                0.59691,                0.95004,                0.81852,                0.86103,                0.87612,                0.78326,                0.48874,                0.55434,                0.91375,              0.0014753,              0.0014753,              0.0014753
                     56,                 0.5706,                0.59028,                0.95989,                0.83297,                0.85132,                0.86198,                 0.7658,                 0.5064,                 0.6049,                 0.9238,              0.0014654,              0.0014654,              0.0014654
                     57,                0.59515,                 0.6186,                0.96793,                 0.8235,                0.85772,                0.86607,                0.77738,                 0.4887,                0.55398,                0.91688,              0.0014555,              0.0014555,              0.0014555
                     58,                0.56406,                 0.5789,                0.94923,                0.82466,                0.87415,                0.87182,                0.78395,                0.47398,                0.54972,                0.91234,              0.0014456,              0.0014456,              0.0014456
                     59,                0.58561,                0.58574,                0.95639,                0.83237,                0.86267,                0.86301,                 0.7761,                0.48688,                0.53764,                 0.9121,              0.0014357,              0.0014357,              0.0014357
                     60,                0.58413,                0.58184,                0.95472,                0.83451,                0.84747,                0.85819,                0.76715,                0.49014,                0.63107,                0.91701,              0.0014258,              0.0014258,              0.0014258
                     61,                0.55898,                0.58626,                0.94647,                0.82638,                0.87172,                0.87076,                0.77385,                0.49398,                0.53463,                0.91626,              0.0014159,              0.0014159,              0.0014159
                     62,                0.56935,                0.58652,                0.95352,                0.84043,                0.84444,                0.87351,                0.78117,                0.48193,                0.56023,                0.91248,               0.001406,               0.001406,               0.001406
                     63,                0.56568,                0.58658,                0.94963,                0.83357,                0.86511,                0.87039,                 0.7828,                0.47682,                0.53305,                0.90948,              0.0013961,              0.0013961,              0.0013961
                     64,                0.56448,                0.58653,                   0.96,                0.79941,                0.88565,                0.87001,                0.77824,                0.48659,                0.55095,                 0.9148,              0.0013862,              0.0013862,              0.0013862
                     65,                0.57287,                0.60007,                0.95928,                0.83635,                0.84242,                0.86915,                0.77924,                0.47744,                0.59353,                0.90838,              0.0013763,              0.0013763,              0.0013763
                     66,                0.56076,                 0.5951,                0.95241,                0.80865,                0.88363,                0.87447,                0.78718,                0.47682,                0.53743,                0.91205,              0.0013664,              0.0013664,              0.0013664
                     67,                0.56814,                0.59739,                0.95208,                0.82384,                0.86667,                0.86861,                0.77765,                0.47466,                 0.5833,                 0.9126,              0.0013565,              0.0013565,              0.0013565
                     68,                0.56313,                0.57164,                0.94872,                0.82999,                0.85312,                0.85905,                0.76727,                0.48724,                0.59936,                 0.9233,              0.0013466,              0.0013466,              0.0013466
                     69,                 0.5493,                0.51808,                0.94309,                0.82639,                 0.8596,                0.86692,                0.77605,                0.48979,                0.56153,                0.92063,              0.0013367,              0.0013367,              0.0013367
                     70,                0.56903,                0.55528,                0.94329,                0.82899,                0.87475,                0.87416,                0.78436,                0.49565,                0.54867,                 0.9185,              0.0013268,              0.0013268,              0.0013268
                     71,                0.56078,                0.55804,                0.94267,                0.80873,                 0.8841,                0.87224,                0.78046,                0.49019,                  0.539,                0.91652,              0.0013169,              0.0013169,              0.0013169
                     72,                0.55961,                0.56768,                0.94343,                0.82076,                0.86494,                0.86586,                0.77843,                 0.4783,                0.57632,                0.91437,               0.001307,               0.001307,               0.001307
                     73,                0.53575,                0.54282,                0.94039,                0.81624,                0.87778,                0.86293,                0.77217,                0.48341,                0.56289,                0.91674,              0.0012971,              0.0012971,              0.0012971
                     74,                0.55887,                0.54695,                0.94716,                0.82933,                0.86162,                0.86033,                0.77471,                0.48017,                0.55093,                0.91513,              0.0012872,              0.0012872,              0.0012872
                     75,                0.55685,                0.56358,                0.94159,                0.82616,                0.85927,                0.86107,                0.76952,                0.49527,                  0.631,                0.91927,              0.0012773,              0.0012773,              0.0012773
                     76,                0.55081,                0.54506,                0.94953,                0.83364,                0.84141,                0.86478,                 0.7765,                0.47849,                0.55067,                 0.9121,              0.0012674,              0.0012674,              0.0012674
